Trait	PC	Delta	Trait_long	Label	stars
EOSC	PC7	-0.00425910134147771	Eosinophil count	Eosinophil count	""
EOSC	PC8	0.0665855907973964	Eosinophil count	Eosinophil count	""
EOSC	PC9	0.00663325412182004	Eosinophil count	Eosinophil count	""
EOSC	PC10	-0.0109539577547117	Eosinophil count	Eosinophil count	""
EOSC	PC11	0.00187360242224418	Eosinophil count	Eosinophil count	""
EOSC	PC12	-0.00442334477314677	Eosinophil count	Eosinophil count	""
EOSC	PC13	-0.0161059522372557	Eosinophil count	Eosinophil count	""
EOSC	PC14	-0.00390396651865023	Eosinophil count	Eosinophil count	""
ERYC	PC1	-0.0501048740513096	Erythrocyte count	Erythrocyte count	""
ERYC	PC2	0.00527357201956857	Erythrocyte count	Erythrocyte count	""
ERYC	PC3	-0.00116273684809153	Erythrocyte count	Erythrocyte count	""
ERYC	PC4	0.000504227617188166	Erythrocyte count	Erythrocyte count	""
ERYC	PC5	-0.0119087931737629	Erythrocyte count	Erythrocyte count	""
ERYC	PC6	0.00143769327423333	Erythrocyte count	Erythrocyte count	""
ERYC	PC7	-0.0243457786448288	Erythrocyte count	Erythrocyte count	""
ERYC	PC8	0.0284911707651553	Erythrocyte count	Erythrocyte count	""
ERYC	PC9	0.0114844996724988	Erythrocyte count	Erythrocyte count	""
ERYC	PC10	0.0857379121670589	Erythrocyte count	Erythrocyte count	""
ERYC	PC11	0.00219463650234121	Erythrocyte count	Erythrocyte count	""
ERYC	PC12	0.0101627915365162	Erythrocyte count	Erythrocyte count	""
ERYC	PC13	0.00643664416351408	Erythrocyte count	Erythrocyte count	""
ERYC	PC14	0.0472260653672539	Erythrocyte count	Erythrocyte count	""
GRAC	PC1	-0.000216731566681061	Granulocyte count	Granulocyte count	""
GRAC	PC2	0.0995371477306777	Granulocyte count	Granulocyte count	""
GRAC	PC3	-0.00812075340565651	Granulocyte count	Granulocyte count	""
GRAC	PC4	-0.00131659857748653	Granulocyte count	Granulocyte count	""
GRAC	PC5	-0.00550649863114899	Granulocyte count	Granulocyte count	""
GRAC	PC6	-0.0200253926590347	Granulocyte count	Granulocyte count	""
GRAC	PC7	0.00307741407333593	Granulocyte count	Granulocyte count	""
GRAC	PC8	0.0254898549648753	Granulocyte count	Granulocyte count	""
GRAC	PC9	0.00144365767145832	Granulocyte count	Granulocyte count	""
GRAC	PC10	-0.000884857833309268	Granulocyte count	Granulocyte count	""
GRAC	PC11	-0.0307472273417294	Granulocyte count	Granulocyte count	""
GRAC	PC12	-0.00660106896689622	Granulocyte count	Granulocyte count	""
GRAC	PC13	-0.015411534729179	Granulocyte count	Granulocyte count	""
GRAC	PC14	0.00737833345954401	Granulocyte count	Granulocyte count	""
GRPMW	PC1	0.000479387280073271	Granulocyte percentage of myeloid white cells	Granulocyte percentage of myeloid white cells	""
GRPMW	PC2	0.0731196943413328	Granulocyte percentage of myeloid white cells	Granulocyte percentage of myeloid white cells	""
